continuous,scene,tstep,runtime
1,1,1.5,0.001892
1,2,1.5,0.017455
1,3,1.5,0.031188
1,4,1.5,0.009722
1,5,1.5,0.002955
1,6,1.5,0.004679
1,7,1.5,-1
1,8,1.5,-1
1,1,0.8,0.003164
1,2,0.8,0.021146
1,3,0.8,0.050604
1,4,0.8,0.015754
1,5,0.8,0.004928
1,6,0.8,0.008701
1,7,0.8,-1
1,8,0.8,-1
1,1,0.1,0.019267
1,2,0.1,0.086236
1,3,0.1,-1
1,4,0.1,0.109536
1,5,0.1,0.038377
1,6,0.1,-1
1,7,0.1,-1
1,8,0.1,-1
1,1,0.05,0.040381
1,2,0.05,-1
1,3,0.05,0.281718
1,4,0.05,-1
1,5,0.05,0.077351
1,6,0.05,0.115415
1,7,0.05,-1
1,8,0.05,-1
1,1,0.01,0.199851
1,2,0.01,0.816182
1,3,0.01,1.091866
1,4,0.01,-1
1,5,0.01,0.383047
1,6,0.01,0.554623
1,7,0.01,-1
1,8,0.01,78.877973
0,1,1.5,6.2e-05
0,2,1.5,0.000591
0,3,1.5,0.000168
0,4,1.5,0.004385
0,5,1.5,0.002026
0,6,1.5,0.000115
0,7,1.5,0.025495
0,8,1.5,0.146581
0,1,0.8,0.000809
0,2,0.8,0.001162
0,3,0.8,0.000957
0,4,0.8,0.00118
0,5,0.8,0.004538
0,6,0.8,0.000247
0,7,0.8,0.233801
0,8,0.8,0.271567
0,1,0.1,0.001998
0,2,0.1,0.058359
0,3,0.1,0.034479
0,4,0.1,0.003754
0,5,0.1,0.029936
0,6,0.1,0.003361
0,7,0.1,1.979695
0,8,0.1,1.73418
0,1,0.05,0.002834
0,2,0.05,0.113262
0,3,0.05,0.077484
0,4,0.05,0.006538
0,5,0.05,0.059852
0,6,0.05,0.006896
0,7,0.05,4.180168
0,8,0.05,3.223759
0,1,0.01,0.006534
0,2,0.01,0.559817
0,3,0.01,0.060128
0,4,0.01,0.031773
0,5,0.01,0.29558
0,6,0.01,0.378334
0,7,0.01,19.951676
0,8,0.01,15.94928
